SMILES,DFT_gap
CCCC2CCC2CC(F)F,10.022501
CC(C)CCC(C)CC(F)CCCF,10.022501
CC(C)(CF)CCC(CF)CCF,10.0226762
CCC(C)CC(C)CCC(C)F,10.023046
CCCC1CCCCCCCC(CC)CCCC1,10.023046
CCCCCCCCCCCCCC(C)C,10.023318
C1CC(C2C3CC2C3)C1,10.02359
C1CC(C1)C1C3CC1C3,10.02359
CCCC(C)CCCCC(C)CC,10.02359
CCCC(CC)C(CC)CC(C)F,10.023862
CCC2CCCCCC2,10.024134
CCC3CCCCCC3,10.024134
CCC1C2CC1(C)C2,10.024406
CCC2C3CC2(C)C3,10.024678
FCC2CCCC(CC)C2F,10.025223
CCC(F)CC(C)CCCCC(C)C,10.025495
CCCCCCC(CC)CC(CC)C(C)C,10.025767
CC(C)C2C3CC2C3C,10.026583
CC(CC(F)C(F)CCF)C(C)(C)CF,10.0267592
FCC12CC(C1)C1CC2C1F,10.026855
CCCCCCC(C)CCCCC(F)CC,10.027127
CC(C)C(C)CC(C)C(C)F,10.027399
CC1CO1,10.0274
CC(C)C1CCC1,10.0274
CCCCCC(CF)CCCC(C)F,10.027848
CCCCC(F)CCCCC(CF)CCC,10.027848
CCCCCCCCCCCCCCCCCCC,10.028488
CCCCCCC(CC)CCCC(C)CF,10.028488
CCCCC(C)C1CC(C)CC1C,10.029304
CCCCCC(C)C(CC)C(C)C,10.029304
FCC(C)C2CCCC2F,10.029848
CCCCC(C)C(CCC)CCC,10.030121
CCCC(F)(CF)C(F)C(CC)CC,10.03057
CCC2C3CC2C3CC,10.030937
CCC1C2CC1C2CC,10.030937
CC(C)C12CC(C1)C2(F)F,10.032025
CCCCCCCC(C)(C)CF,10.032025
CC(C)CCC(C)(CCF)C(F)F,10.0322032
CCCCCCC(C)CCCCCC,10.032298
FCC2CCCC(C)C2F,10.03257
CCCCCC(CF)C(C)(F)CCCC,10.0327476
CCC(C)C(C)(C)C,10.032843
CC(C)C(C)C(C)C,10.032843
C1CCC2CCCC2C1,10.032843
FCCCC3(C)CCCC3F,10.033114
C1CCCCCCCCCCCC1(F)F,10.033658
CCCCCCCCCC1CCCC1CCCC,10.03393
C1CCC3CCCC3C1,10.034474
CCC1C2CCC1C2,10.034474
CCCCCCCC(C)CC(C)CCCC,10.034474
CCC.CCCCCC,10.035019
CC1(C)C2CC1C2(C)C,10.035291
CC(C)(C)C1CCCC1,10.035564
CCC1CC(C)C1,10.035564
CCC(CF)C(C)(C)CF,10.0357418
CC(CC(CF)CF)C(C)(C)CF,10.0357418
CCC1CC(C1)C,10.035835
CC1CC(CC)C1,10.035835
CCC2CC(C)C2,10.035835
CC(C)CCC1CCCC1(F)F,10.036651
CCC1C2C(C)C1C2C,10.037468
CCCCCCC(CCCC)CCCC,10.03774
CCCCCCCC(C)CCC(C)F,10.03774
FCC1CC3C4CC3C1C4F,10.038012
C1CC2CC2C1(F)F,10.038012
CCC(C)C(C)CCCCC(C)C,10.038284
CC1(C)CCCC1,10.038285
CC(C)CCC(C)CC(C)CF,10.038556
CCCCCC2CCCC2C,10.038828
FC(F)(F)C1C2CCC21,10.0391
CCC(C)CCCCC(C)CC(C)F,10.039645
CCC(C)CCCCCC(C)CC,10.039645
CCCCCC(C)CCCC(C)F,10.039645
CC(CF)C(CF)C(CF)CCF,10.040097
C1CC2C3CCC2C1C3(F)F,10.040189
CCCCCCC(C)(C)C(C)F,10.041005
CCCC(CC)C(C)C,10.041006
CC1CC1CCCC1CC1,10.0412722723769
FCCCC3C4CC3CC4F,10.041549
CCCCCCCC(CC)CCC,10.041549
CC(C)CC(C)CCC(C)CF,10.041822
CCCC(F)(CF)C(F)C(CC)CCC(F)F,10.0420024
CCCC(F)C(F)CC(C)C(C)CC(C)F,10.0420024
CC(F)C(F)(CF)C(C)CCCCF,10.0420024
CCCCCC(CCCC)CCCCC,10.042094
CC(F)C(F)C(C)C(C)(C)C,10.0422746
CCCC(CF)C(C)(CF)CF,10.0430912
CCCCCC(C)C(C)CCF,10.043726
CCC2C3CC2C(C)C3,10.044543
FCC(C)CCC2CCC2F,10.044543
CC(C)(C)CCC(C)C,10.044543
CC2CC3CC2C3CC,10.044543
FCC(C)CCC3CCC3F,10.044543
FCC2CCCCC(C)C2F,10.044815
FCC1(C)CCCC1F,10.045631
CC(C)(CF)CC(CF)CCF,10.0458132
CC(C)(C)CCCCC,10.045903
CCCCC(CC)(C)C,10.045903
CCCCCCCCCCCCCCCCCC,10.045903
CC(C)CCC1CCC(CCC(C)F)C1,10.046175
CC(C)CCC(C)(C)C,10.046449
CCCC(C)(C)CC,10.046449
CCCCCC(C)(C)C,10.046449
CCC(C)(CF)CCCC(C)C,10.0477186
CC(CF)C(CF)C(C)C(C)C(F)F,10.0477186
CC(C)CCCC(C)CCF,10.0477186
CC1CCCCC(C1)C,10.048352
CCCCC(C)CCCCC(C)C,10.048352
CC2CCCCC(C)C2,10.048624
CCCCCCCC(C)C(C)CC,10.048896
CC(C)C1C2CC1C2C(F)F,10.049169
FCCCCC3CCC3CF,10.049169
CCC1CCC(C)CCC1C,10.049169
CCCCC(CCC)CCC(C)(C)F,10.049169
CCCCCCC(C)CCCCCF,10.049624
CCCC(C)C1CCCC1,10.0499799147909
CC(CCCF)C(CF)CCCF,10.0501684
CCCC(F)C(C)(F)C(C)CC,10.0501684
CCC(C)(C)CCC,10.050257
CCC1C2C3C(C)C2C13,10.050529
CCC1CCC(C)CCC1CC,10.050529
CCCCCCCCC(CCC)C(F)CC,10.050529
CCC1C2CC(C2)C1C,10.05189
CCCCCC1CCC1,10.05189
CCC1CCC(C)C(CC)CC1C,10.052162
CCC(C)C(F)C(F)C(F)(F)F,10.052346
CC(C)(C)CCCCCF,10.0526182
FCCCCC(C)(CC)CF,10.052706
CC1CCC3CCC1C3,10.052706
CCC(CC)(CF)C(F)(F)CC(C)C,10.0528904
CCCCC(CF)C(C)CCC(F)C(C)C,10.0528904
CCC3CCCC3CC,10.052978
CCCCCC2CCC2,10.05325
CCCCCCC1CCCC1CC,10.053522
CC2C3CCCC3CC2,10.053795
CCC(CC2CCC2)C,10.054067
CCCCCCC1CC(C)CC1C(C)C,10.054611
CCC(CC)C(C)C,10.054612
CCCCCCC(CC)CCCC,10.055155
CCCC2CC(C)(C)C2,10.055155
CC1CCCCCC(F)CC(F)CC1,10.055155
CCCC(C)(CF)CCCC(F)(F)F,10.0561568
CCCC(F)C(F)CC(C)CC(C)CF,10.056429
CCCCCCC(CF)CCCF,10.0572456
CCC1(C)CCC(C)C1,10.057333
CCC1CCCC1C,10.057333
CC1CCC(CCCCCCCCCF)C1,10.057604
CCCCC(C)CC(C)C,10.0578712157285
CCCC(CC)C(F)CC(C)CCF,10.058148
FCC2CCCCCC2CF,10.05842
CCC1CCC(C)CCC1F,10.05842
CC(C)C(C)C(C)(CF)C(F)F,10.0586066
CCCCCC(CF)CCCCF,10.059151
CC(C)CCC(C)CCC(C)F,10.059237
CC(C)C12CC(C1)C2C(F)F,10.059509
CCC(CF)C(C)(CF)CF,10.0596954
CC(CCC(CF)C(C)C)CC(F)F,10.0596954
C1COCOC1(F)F,10.059781
CC1CCCCCC1C,10.060055
CC(C)CCCC(CF)CCC(C)(F)F,10.0602398
CCCC3CCCCC3(F)F,10.060325
C1CCC(CCC)C1(F)F,10.060869
CCC1CC(CC1C)C,10.061142
CCCC(F)(CF)C(C)(F)CCCF,10.0613286
CCC2C3CCC2C3C,10.062502
CC(C)(CF)CC(F)C(F)CCF,10.0626896
C1CCC(CCCC)C1(F)F,10.062774
CC1CC1CC(F)(F)F,10.062774
CCC1C2CCC1C2C,10.062774
CCCCC3CCCC3(F)F,10.062774
CCC1CCCC(C)C1,10.062776
CCC1CC(C)C(C)C1,10.062776
CC1CCC2CCCC12,10.062776
CC1CC(C)CC(C)C1,10.062776
CCCC(C)(CF)CCCC(F)F,10.063234
CCCC1CCCCC1CC,10.0633134922372
CCCC3C4CC(C4)C3,10.063319
CC(C)CCCCCC(C)CC(C)F,10.063319
CC1C(C)C2CC1C2C,10.063591
CCC(C)CCCCC(F)CC(C)C,10.063591
CC(CCF)C(C)(C)CC(F)(F)F,10.0640506
CCCC(C)(CF)CC,10.064135
CCCC(F)C(F)CCCCCC(C)(C)F,10.0643228
CC(F)(F)CCCCCCC(C)(C)CF,10.064595
CCCCCCC(C)CCCCC,10.064679
CCCC(F)(CF)C(F)CCC(C)C,10.0648672
C1CCCCCCCC(CCC1)C(F)F,10.064951
CCCCCC(CC)CCCCC,10.064951
CCCCCCC(CC)C(F)CCCCC,10.064951
CCC(CF)CC(C)CCF,10.0651394
CC(C)(C)C(C)(C)C(F)F,10.065495
CCC(C)CCCCCCC(C)C,10.065768
CCC(C)(CF)CC,10.06604
FCCCCC3CCC3F,10.066312
CC(C)CC2CCC2C(F)F,10.066312
CCCCCC(CF)CC(C)C,10.0665004
CC(C)CC1CCC1C(F)F,10.066584
CCCC23CC4C2CC43,10.066584
CCCC12CC3C1CC32,10.066856
CCCCCC(C)C(CC)CF,10.0675892
CCC2CCC(C)C2C,10.068217
CCCCCCCC(C)CCCC,10.069033
CCCCC(C)(F)C(F)(CF)CCC,10.0692224
C1CCC2(C1)C1CC2C1(F)F,10.070393
CCCCCCC(CF)C(C)C,10.0705834
CCCCCC(C)CCC(F)C(C)C,10.070666
CCC1CC(C)CC1C,10.070938
CC12CC(C1)C(C)(C)C2,10.070938
CC(C)(C)CCF,10.0711278
CCC(CC)CCCCCC(C)C,10.071482
CC(C)C(C)(CF)CCC(F)F,10.0724888
CCCC(F)C(F)CC(C)CCF,10.072761
CC(F)C(F)C(C)(C)CF,10.072761
FCC1(C)CC2CC1C2F,10.073115
CCCCCCC(CCC)CCF,10.073115
CCC(C)CC(C)CCC(F)CF,10.073931
CC(CF)(CCCF)C(CF)CF,10.0743942
CCCCCCCCC(C)(C)F,10.074475
CCCC(C)CCC(CC)CCF,10.074747
CCCC1C2C3CC2C13,10.075292
FCC(C)CCC(C)(C)CF,10.075836
CCC(C)C(C)(C)CF,10.075836
FCC(C)C2CCC2F,10.07638
FCC(C)CC2CCCC2F,10.076652
C1CCC3CCCC13,10.076652
CCCCCCC(CC)CCCCF,10.076924
CCCC1CCCCC1C,10.0774634111598
CCCCCCCCCCCCCCCC,10.077468
CCC1(C)CC2CC1C2,10.077741
CCCC(F)(CF)C(F)C(C)CC,10.0779328
CCCC(C)(CF)CCC,10.0779328
CCCCCC(CF)CCCCC(F)F,10.078205
CCCCCC(C)CC(C)C(C)C,10.078557
CC(C)CCC2CCC2,10.079101
CCCC1CCCCC1,10.0791025
CC(C)C(C)(C)C,10.0791025
CC(C)CCC3CCC3,10.079373
CCCCCC3CCC(C)C3CC,10.079645
C1CCC3C1C1CC3C1,10.079917
FCC1CCC(C)(CC1)CF,10.079917
CCCCCC1CCCCC1,10.0801845494141
FCC1CCCC(C1)CF,10.08019
CCC1(C)C2CCC1C2,10.08019
CCCCCCC1CC(C)CC1CCCCC,10.08019
CCCC2CCC(C)C2,10.080734
CC2CCC(C)(CC)C2,10.081006
CC(C2C3CC2C3)CC,10.081006
CCCCC(CCCC)C(C)(C)F,10.081006
CCC(C)C(CF)CCC(C)C(F)(F)F,10.0814714
CCCCCCC(C)(C)CF,10.0817436
CCC2C3C4CC3C4C2,10.081822
CCCC2C3CC2C3C(F)F,10.082094
FCCCCC3CCCC3F,10.082094
CCC1C3CC1C3C,10.082094
CCC1C2CC1C2C,10.082094
CCC1CC2C3CC2C13,10.082366
CCC(CF)(CC)CC,10.082366
CCCCCCCC(CCC)C(F)CC,10.082911
CCC(CF)(CF)C(CF)CF,10.083649
CCCC(F)(CF)C(F)CCC(C)C(F)F,10.083649
CC(CCF)CC(C)CCC(F)(F)F,10.083649
CCCCCCC(CCF)CCCCF,10.0839212
C1C2CC1C21CC1,10.084271
CCCC3C(C)CC3,10.084543
CCCCC(C)C(C)CC(C)F,10.084543
CCCCCCC(F)C(CC)C(C)C,10.084543
FCC1(C)C2CC1C2(C)CF,10.084816
CCC(C)CC3CCC3,10.085088
CCCCC2CCCC2CC,10.08536
CC(C)(CCCCF)CCC(F)F,10.0858266
CC(F)(CCF)C(F)CCF,10.0860988
CCCC(F)(CF)C(C)(F)CC,10.0860988
CCCC2CCC(C)C2(F)F,10.086176
FCC12CC3CC1C3C2F,10.086176
CCCC3CCC(C)C3(F)F,10.086176
CC(C)(CCF)CCC(F)F,10.086371
CCC(CCF)C(C)(C)CF,10.086371
CCC(CF)C(CF)C(C)CCC(F)F,10.086371
C1CC2CCCC2C1,10.087266
CCC(CF)C(CC)C(C)CCF,10.0874598
CCCCCCC(C)CCF,10.0880042
FC(F)(F)CCC1CC1,10.088353
CC(C)C2C3CC2C3,10.088897
FCC12CC(C1)C2(C)CF,10.088897
CC(C)CCCCC1CCC(C)C1,10.089169
C1CCCCCCCC1(F)F,10.089714
FCCC3CCCC3CCF,10.090258
CCCCC(C)(CF)CCC(F)F,10.090454
C1CC1CC,10.090802
CC(F)C(F)(CF)C(C)(C)CF,10.0920872
CC(C)CC2C3CC2C3,10.092163
CC(CF)CC(F)C(F)(CF)CCF,10.0926316
CCC1CC1,10.092708
CCCC(CF)C(CF)CCC(F)F,10.093176
CCC(CC)(CC)CF,10.0934482
CC(F)C(F)(CF)C(C)(C)C,10.0939926
CCCCC(CC)C(C)C(C)CF,10.094067
CC1(C)C2C3CC2(C)C31,10.094612
CCCC(C)C(CF)C(C)CF,10.0953536
CCCCC2CCC2,10.095428
CCCCC1CCC1,10.095428
CC(C)CC1CCCC1,10.095428
CCCC(F)C(C)(F)CCCCCCC(C)C,10.095898
CC(C)CCC(C)CCF,10.0961702
CC(CF)CCC(F)C(F)(CF)CCF,10.0967146
CCCC(F)C(F)CCCC(C)CCCF,10.0967146
CCCC(CC)C1CCCC1,10.0967834927657
FCC1(C)CCCC1CCF,10.096789
FCCCC3CCCCC3F,10.096789
CCCC(F)(CF)C(F)C(F)(F)F,10.0969868
CC1CC(C)C1(C)CC,10.097061
CCC2CCCCC2,10.097605
CCCC(C)CCCC(C)C(C)F,10.098149
CCCC(F)C(F)CC(C)C(C)C,10.0983478
CC(C)(CF)C(C)(C)CF,10.0983478
CC(C)C(CF)C(C)CF,10.09862
CCC(C)(CF)CCC(F)C(F)CCF,10.09862
FCCC(F)C(F)C(F)F,10.0994366
CC(CF)CC(CF)CCCCF,10.0994366
CCC1CCC(C)CCC1,10.09951
CCCCCCC(C)CC(C)CCCCC(C)C,10.100054
CC(F)C(F)C(C)C(C)(C)C(F)F,10.1010698
CC(CF)CC(CF)CCCCCF,10.101342
CCCC(C)(CF)CC(F)F,10.1021586
CCC12CC(C)C(C1)C2,10.102231
CCCC(C)C(C)C(F)(CF)C(C)F,10.1024308
CC(C)C(C)C1CCCC1,10.1024978830998
CCCCC(C)C(C)C(CC)CF,10.102775
CC(F)C(F)(CF)C(C)(C)CC(F)(F)F,10.1032474
CCCCCC(CC)CCCCCF,10.1032474
CCCCCCCCC(F)CC(C)C,10.103319
CCC1CCCCCC1,10.103593
CCC(C)C2CCCC2,10.103863
CCC(C)C2C3CC2C3,10.10468
CCCC(F)C(C)(F)CCCCC(F)CC(C)C,10.1048806
CCCCCCCCC(CC)CC,10.105496
CCC(C)CCCCCCCC,10.105496
CCCCCCCCCCC(C)C,10.105768
CC(C)CC(C)CCCCF,10.1062416
CCC(C)(CF)CCCF,10.1073304
CCCCC(C)CC(C)C(C)CF,10.107401
CCCC(F)(CF)C(C)F,10.1078748
CC2CC(C)C2,10.108489
CCCC(F)C(F)(F)CC(C)CCCCC(C)C,10.1086914
CCC1CC2CC1C2C,10.108762
CCC1CC3CC1C3C,10.108762
CCC2CC3CC2C3C,10.109034
CC1CCCC(C)C1,10.109035
CC(F)C(F)C(C)CCCC(C)C(F)F,10.109508
C1CCCCCCC1(F)F,10.109578
CCCC(F)(CF)C(F)C(C)C,10.1097802
CC(C)CC(C)CCCC,10.10985
CC(C)(CCCCCF)CC(F)(F)F,10.1100524
CCCC(CF)C(CF)CCF,10.1105968
CCC2CCC(C)C2(F)F,10.110666
FCCC(F)(CF)C(F)C(F)(F)F,10.110869
CCCC(C)(F)C(F)(CF)CCC,10.110869
FCCCCC(C)(C)CF,10.110938
FC(F)(F)CC1CC1,10.110938
FCCC(CF)C(CF)CCF,10.1111412
CC(CCF)CCCCCCCCC(C)CC(F)(F)F,10.1111412
FCC1(C)C2CCC1C2F,10.111483
CC(F)C(F)(CF)C(C)(CF)C(F)(F)F,10.1116856
CC1CC(C)C(C)C1,10.111756
CC(C)CCC(C)CCC,10.112299
CC(C)(C)CCC(C)C(F)F,10.113115
CCCCCC(CF)CCCC(F)CCC,10.1144076
CC(C)CC(C)CCF,10.1144076
CC1C(C)C1C(F)(F)F,10.114476
CCC1CCCCC1,10.114477
CCC(CF)C(CF)CCC(F)F,10.1146798
CCCC(C)CC1CCCC1,10.1150151190698
CCCCC(C)C1CCCC1,10.1152872328953
CCCC(F)(CF)C(F)C(F)F,10.1157686
CC(C)(CCC)CCC,10.116381
FCCCC3CC(C)CC3F,10.116653
CC(C)C1CCC1C(F)F,10.117197
CCCC(F)C(F)CCCCCC(F)CC(C)C,10.1174018
FCC(C)CCC1CCCC1F,10.117741
CCCC(F)(CF)C(F)CCF,10.1184906
CCCC(C)(CC)CF,10.1184906
FCC1CCC(C)(C1)CF,10.119102
CC(C)C(C)C(C)(C)C(F)F,10.119374
CCCCCCC(F)C(C)CCCCC,10.119646
CCCC(CC)(CF)CF,10.1198516
FCC2CC(C)C2F,10.119918
CC(CC(F)F)CC(CF)C(C)C,10.1209404
CC(C)C(C)C(F)CF,10.1209404
CCCCC(CF)(CF)CCCF,10.1209404
CCCC(C)CC(C)C(F)CC,10.121007
CCC(CF)(CF)C(CF)CCF,10.1214848
CCC(C)C(C)CCCCC,10.122095
CC(CF)C(CF)CCCCCF,10.1225736
CC(C)CC(C)C(C)C,10.122641
CCCC(C)CC(CC)C,10.123184
CCCC2CCCCC2,10.123184
CC(F)CCC(C)CCC(C)CF,10.1233902
FCC2CCC(C)C2CCF,10.123456
FCCCCC(CF)CCCCF,10.1236624
CCC(C)C(C)CCCCCF,10.1247512
CC(C)(C)CCCCC(F)F,10.12536
CCCC(F)(CF)C(C)(F)CF,10.12584
CCCC(F)(CF)C(F)CCCF,10.1266566
CC(CF)C(CF)CCCCF,10.1280176
CC(CF)C(C)CC(F)C(F)CCF,10.1282898
CC(C)CC(C)(C)C(F)F,10.128354
CC1CC(C1)CC1CC1,10.12917
CC(C)(C)C(F)CF,10.129923
CC1C2CCC1C2,10.130804
CCCCCCC(C)CCCF,10.131075
CCCCC(CF)CCCCCC(F)F,10.131284
CC(CCF)C(C)CCCCCC(F)(F)F,10.1315562
FCC2CCCCCC2F,10.131619
CCCCCC(C)CC(C)C(C)F,10.131619
FCC1CCCC(CC1)CF,10.132435
CCCCC(C)(C)C,10.133525
C1CO1,10.133525
CCCC(F)C(F)CC(CC)CC,10.1337338
CC(C)(C)CCCC,10.133796
CCCC(CC)C(C)CF,10.1348226
CC(F)C(F)C(C)CC(C)(C)C(F)F,10.1348226
CC1C2C3CC2C13C,10.135429
CC(CC(F)(F)F)C(F)C(F)CF,10.1356392
CCCC(F)C(F)CCCCCCCC(C)C,10.1359114
CCCCC(CF)(CCC)C(F)F,10.1361836
CCC1CCCC1CC,10.136247
CCCCC(F)C(F)C(C)CCC(F)F,10.1364558
CC(C)(C)C1C2CC1C2(F)F,10.137061
CC(CCC(F)F)CCC(C)(C)CF,10.1372724
CCC1CC1C(F)(F)F,10.137606
CCCCCC(CF)CCCC(F)F,10.1378168
CCCC(C)CCC(C)CF,10.138089
CCCCCCC(CCCCC)C(C)F,10.138694
CC12CCC(C1)C2,10.138967
FCC1(C)CC2C3CC2C31F,10.139238
CCCCCC(C)CCF,10.1397222
FCCCCCC3CCC3F,10.139783
FC(C1CC1)C(F)(F)F,10.140055
CCCCC(C)CC(C)CF,10.142776
CCC1C2C3CC2C13,10.143592
CC1(C)CC2C3CC2C31,10.144136
CCC2(C)CCC(C)C2,10.144136
C1C2CC3C1CC23,10.144408
FCC1(C(F)(F)F)CC1F,10.146313
CCCC(C)CCCCCC,10.146313
FCC1(C)CCC1F,10.146313
FCC2CCCCC2F,10.14713
CCC1CCC(C)(C)C1,10.147131
CCC(C)C(C)C(C)CF,10.1473438
C1CCCCC(C1)C(F)F,10.147402
CCCCCCCC(CC)C,10.147402
CC(C)(CCCCF)CC(F)(F)F,10.147616
CC(C)C(C)(C)CF,10.147674
CCC(C)C1C2CC1C2,10.147674
CCCCCCCC(F)CCC(C)C,10.147674
CCCCC(C)CCCCC,10.147946
CCCC(F)(CF)C(F)CF,10.1481604
CC(C(F)C(F)CF)C(F)(F)F,10.1484326
CCCC1CC(C)CC1CC,10.14849
CC(C)CC3CCCC3,10.148762
CC1CC3CC1C3C,10.149034
CC(C)CCCC(C)CC,10.149307
CCCCC(CF)CCCCC(F)F,10.1497936
CCC(C)(C)CC,10.149852
CCCC2CCC2,10.150395
CC(C)C(CF)CCC(C)C(F)F,10.1506102
CCCC1CCC1,10.1506620302018
CCCCCC(F)(F)C(F)C(F)F,10.1508824
CCCC3CCC3,10.150939
FCC12CCC3C(CC31)C2F,10.151211
CCCC(CC)C(C)CCF,10.151756
C1CC2(C1)C1CC2C1,10.1523
CC1CC2CC1C2C,10.152574
CCCC(CF)C(C)(CF)C(F)F,10.1527878
C1CC1.CCCCCC,10.153116
FCC1(C)CCCC1CF,10.153388
CC(CCC(F)F)CC(CF)C(C)C,10.1536044
